@relation water_quality_

@attribute ph numeric
@attribute Hardness numeric
@attribute Solids numeric
@attribute Chloramines numeric
@attribute Sulfate numeric
@attribute Organic_carbon numeric
@attribute Trihalomethanes numeric
@attribute Turbidity numeric
@attribute Check numeric

@data
7.977636,245.89513,32170.06916,9.635636,399.583155,11.728338,23.81702,3.552129,0
6.078336,197.501912,35957.79218,8.130472,379.527706,20.098413,41.86596,4.201581,0
6.242414,191.908729,28149.41179,7.130437,319.306785,19.370091,60.939481,4.508705,0
6.063355,160.767311,14775.1456,7.484104,305.828553,12.309016,69.038454,3.467337,0
8.129586,177.898967,27834.2177,9.006008,334.438539,15.936262,81.390759,3.362537,0
9.562406,202.013643,13041.82914,5.820655,327.118824,14.139066,63.548993,3.76272,0
8.167793,200.913755,27141.3629,7.262417,344.161134,16.142284,66.231436,4.289395,0
8.594416,270.022706,15791.67535,5.912691,?,20.184051,54.961285,3.568992,0
?,167.386127,20944.62081,4.963124,?,11.318807,?,3.679795,0
6.825468,187.05171,46140.12685,6.137757,352.702182,12.606382,58.752201,3.02745,0
7.861178,204.274241,25145.02412,7.923315,338.213803,15.99341,86.167298,4.157657,0
4.965774,220.848639,21802.7449,6.250578,311.598136,18.035238,53.908177,3.421767,0
6.207433,192.937027,13442.60347,5.819023,325.906562,14.687539,60.485033,3.549299,0
?,157.001287,20067.10533,8.071051,?,17.322946,71.969261,4.41756,0
9.769251,264.265654,8471.677381,8.34971,359.268543,15.047087,52.645459,4.636556,0
9.630665,152.862434,23641.70257,6.925706,333.148318,16.670184,89.997574,4.920091,0
5.187472,104.752425,20060.07873,6.913911,?,15.140348,98.656646,3.203258,0
7.63357,199.653,16312.15497,9.900547,358.566282,10.539392,100.242706,2.927067,0
5.771199,155.050893,24909.44401,6.531261,297.009319,11.704789,85.688303,4.688959,0
6.579969,197.226981,17657.08418,4.506293,290.289894,9.847655,73.749716,4.575932,0
4.801154,180.772871,13556.7344,8.977286,322.062447,12.401368,62.028187,4.418638,0
7.948816,238.23641,19129.45837,5.851965,?,8.663294,67.30404,3.692251,0
6.906992,216.785291,19991.23915,7.302352,340.106028,9.614106,61.122644,2.124759,0
?,281.268667,22452.09081,6.773699,343.635821,14.90308,67.125168,4.44435,0
?,190.77946,12224.31051,4.646211,308.564886,11.876797,61.886636,3.463173,0
8.461331,212.581366,34406.77645,8.679152,384.855382,13.801712,?,3.771944,0
7.726135,233.947864,21667.86874,6.313182,340.273171,14.39986,36.578038,3.720637,0
?,247.661573,19549.49934,8.76967,?,16.624654,64.949008,3.777737,0
8.927078,241.875105,22821.25438,8.549738,367.975558,10.859287,75.857068,4.601861,0
6.208016,153.221106,17358.79637,8.214939,328.282029,14.274092,62.718199,4.334616,0
6.128426,141.49241,9615.83271,7.627919,277.951704,16.435843,50.693927,4.633824,0
?,202.254833,11981.74019,9.189106,339.983935,14.079228,62.76553,2.678911,0
7.308049,274.70495,14600.53952,8.105803,384.564852,16.761625,68.937227,3.69612,0
?,170.099236,39906.19027,6.554996,?,13.516078,40.514172,4.353239,0
8.640886,201.568724,26473.71324,6.967095,352.306586,17.665083,68.664923,5.263102,0
?,205.509457,20406.92767,6.810069,355.265923,12.337776,70.580607,4.102529,0
8.15321,127.144892,10280.9295,5.828358,267.636886,11.943477,90.619354,2.905788,0
8.29372,206.160415,35216.38597,6.441,347.062241,16.065668,79.954511,3.954715,0
?,233.850345,21136.28676,6.689878,?,9.745282,77.529945,3.310859,0
?,237.677383,26009.07526,7.074531,372.600296,14.442238,72.69624,3.706602,0
9.489973,234.069965,15513.74038,4.735332,?,16.698216,81.427174,4.219968,0
7.830976,190.799044,7695.063935,4.845205,292.515825,15.526658,85.009506,4.588785,0
4.430281,139.685759,28862.25717,8.961372,298.379458,17.299294,63.042501,4.384565,0
7.24074,201.186804,23783.09956,7.751285,340.983683,13.486379,62.650236,3.556297,0
?,260.20536,19517.7248,8.764169,368.821037,12.804588,48.65189,3.665522,0
6.867301,174.184976,24112.15347,5.529942,297.655575,11.482687,65.304414,3.823595,0
6.129637,200.278182,30989.94841,8.830102,348.868154,9.300117,79.553612,4.615886,0
7.917049,278.056321,27192.28056,9.220128,424.787996,15.054313,56.839602,3.659485,0
6.511618,181.873422,29136.81462,7.685775,345.751639,12.321232,52.437617,4.850434,0
5.323816,232.36858,37625.75268,8.879823,380.576472,12.293803,55.310019,2.880722,0
6.769573,168.937072,11067.18115,7.121264,305.79495,18.545903,62.001571,5.22054,0
5.877974,141.615287,13652.2932,5.701659,279.7824,12.034042,67.907258,4.03226,0
9.534022,201.955208,9472.61492,6.105708,319.57642,15.625617,?,2.768239,0
6.340028,225.028148,45222.50667,5.809032,363.005755,11.385937,80.670311,3.686001,0
8.661592,284.098351,27088.47646,7.897857,?,16.912142,72.465763,3.670431,0
5.653506,146.590232,16462.46009,6.501596,299.644611,13.795264,87.822585,5.198986,0
6.626012,112.299486,25839.8941,7.658747,312.247043,19.409147,85.785103,4.194313,0
7.793834,176.866483,18344.68036,7.567677,338.229597,9.039042,76.288076,4.172935,0
7.593128,261.566173,18371.0572,6.297543,?,16.575981,51.830948,3.377338,0
7.362737,185.692181,16268.44861,5.317019,316.918649,16.024246,64.678914,4.408513,0
9.320305,129.823859,16002.13832,4.405035,271.670562,13.076859,82.837583,4.20581,0
3.719792,248.859267,23590.93213,7.683742,351.555482,20.393782,38.604937,2.718398,0
6.655605,216.441171,20571.84571,8.984237,?,17.745996,71.704305,2.951645,0
9.868878,214.166235,15326.85591,3.351598,297.084174,19.188441,70.070514,3.35549,0
5.590614,229.192139,35370.73552,7.989641,?,13.281556,76.992716,4.726845,0
5.554437,229.122829,31344.46039,7.761431,?,13.9748,87.273375,2.095914,0
4.126529,125.474884,11215.9459,5.366011,261.444798,18.575921,86.433655,4.460201,0
5.970036,230.449329,16324.1152,5.293919,315.186121,13.325987,39.554249,5.428674,0
?,229.77135,16162.26231,4.933662,?,8.816487,?,4.600928,0
8.369154,183.500378,12975.90033,6.600853,315.901122,12.987106,87.02941,3.629749,0
6.284248,190.017649,12206.68121,7.910711,?,13.24614,58.927726,3.377132,0
11.267828,161.896362,6040.369868,7.205414,?,11.768309,25.525267,4.153347,0
9.298018,163.038835,13990.5134,4.249702,?,15.365884,83.923168,3.681324,0
7.895469,154.26578,7769.616119,7.205262,258.312879,16.420041,63.016018,4.236947,0
7.947486,269.809407,34440.77343,6.958283,390.104223,13.749261,56.635811,3.700854,0
10.026159,224.266358,14962.17783,7.428313,336.97295,18.858519,65.363452,4.182278,0
6.488193,225.481909,34864.42789,8.951692,385.505635,12.696545,97.11286,4.592074,0
5.869737,207.725455,22244.21824,6.597764,352.563987,14.8381,77.822737,4.689315,0
?,220.813703,21410.31962,6.32488,335.845863,9.500296,86.990134,3.659975,0
5.304143,160.968358,25299.51156,6.286043,300.500689,15.01303,61.115513,4.165724,0
7.533615,186.918245,11642.72754,5.890684,?,10.740146,49.574308,3.462764,0
4.077608,207.838048,18194.95414,7.923974,?,13.306692,35.824556,2.758659,0
?,105.859264,37928.14218,5.60944,?,12.207108,71.11989,3.873853,0
7.086168,189.145378,4304.492483,3.615891,259.373322,12.993012,63.902288,3.41654,0
6.271012,213.444685,24846.14187,8.372997,?,17.916526,84.578869,5.303581,0
7.957768,276.733569,17162.39842,7.841542,397.431962,14.529779,60.559699,3.450746,0
8.875642,228.921587,28487.7086,5.318732,351.960723,14.68397,52.57886,4.006992,0
?,192.447171,18257.56927,7.472249,313.776546,13.932145,53.185917,4.358298,0
6.613709,141.128921,25648.5695,7.222972,295.236892,14.038263,74.29925,3.539771,0
7.735705,137.318166,16723.97724,7.675826,282.539892,18.756139,63.042779,2.148612,0
9.925041,238.713393,10704.60318,6.110019,351.597423,13.550367,59.462669,4.703803,0
9.002583,202.990765,19523.12486,7.244753,330.361512,15.689404,55.6974,4.904837,0
5.095766,273.408448,26307.29845,10.219804,380.201498,18.272418,61.425187,4.352193,0
8.594677,263.764593,23220.12061,6.394463,383.962592,13.579996,86.191635,4.754072,0
7.083779,112.820254,8580.245561,4.210284,234.852699,23.399516,94.160307,3.887681,0
7.682872,180.701376,12105.72193,5.396716,296.238877,15.831763,61.802095,3.778607,0
?,133.813115,18272.50597,5.911871,?,11.504506,92.975762,3.313199,0
6.419772,208.760248,30759.68144,7.767863,?,20.232523,?,3.095233,0
4.443239,178.956206,25008.53225,4.948815,298.576676,17.729724,56.347689,3.268325,0
6.978664,183.242796,23114.44608,6.500825,323.155777,16.082847,65.995717,4.766943,0
6.623614,203.030141,17167.3013,6.049601,311.726288,15.9145,65.021229,2.915166,0
3.664711,201.097316,28102.75663,5.682035,330.023531,17.470631,75.101801,3.316158,0
4.814136,205.214041,17650.40505,8.12108,350.487939,10.999416,47.402666,5.190852,0
5.779674,199.58608,24160.35432,9.458128,?,16.022503,64.872703,4.656377,0
6.937819,177.578142,12626.19792,7.380883,?,9.348252,83.163242,3.72409,0
7.436783,208.094004,28544.61629,6.500053,339.023898,17.115276,65.311277,3.727664,0
4.723313,252.274895,22833.19204,5.922451,378.560304,16.584571,66.728402,3.917587,0
9.380658,265.061216,15156.78983,4.271545,333.334469,11.28641,99.016003,4.034349,0
7.810145,187.315048,20418.88993,7.214896,325.228881,16.8004,68.48548,4.033774,0
9.436637,143.788412,20724.93036,7.7001,?,14.215765,66.077978,4.411117,0
9.406326,216.762159,27948.58945,6.156111,355.473035,16.340715,32.108292,3.097278,0
6.321259,207.25771,8532.139517,5.987877,286.48928,10.546886,74.502808,4.501457,0
?,217.369746,17984.32744,8.594163,?,10.213779,18.400012,3.605154,0
4.705356,103.173587,19555.76505,6.767298,?,9.182834,93.900486,3.43745,0
8.896419,222.256293,8870.902966,6.011342,332.00263,10.847737,?,3.700946,0
6.581878,272.982745,37169.4444,8.114731,416.083481,15.129334,79.261026,4.201663,0
6.755146,231.260131,18536.69865,8.757133,342.548014,13.888834,79.302436,5.16273,0
9.44513,145.805402,13168.52916,9.444471,310.583374,8.606397,77.57746,3.875165,1
9.024845,128.096691,19859.67648,8.016423,300.150377,14.770863,73.778026,3.985251,1
?,169.974849,23403.6373,8.51973,?,12.924107,50.861913,2.747313,1
6.800119,242.008082,39143.40333,9.501695,187.170714,11.432466,73.777275,3.85494,1
7.174135,203.408935,20401.10246,7.681806,287.085679,14.53351,74.405616,3.939896,1
7.657991,236.960889,14245.78912,6.289065,373.165363,10.464239,85.852769,2.437296,1
8.322987,207.252462,28049.64628,8.827061,297.813085,18.709273,60.91142,4.052136,1
5.934279,223.858125,23249.65383,4.60285,?,11.366863,66.623944,5.217895,1
9.802721,98.771644,27357.45674,9.21815,323.199076,14.168934,59.45444,2.764634,1
6.101955,215.26809,15976.92623,8.85716,308.482695,13.147279,62.505642,3.535596,1
4.997771,280.082411,26849.19474,6.130757,374.232961,15.571571,70.560275,3.404633,1
4.815767,217.687093,16392.13507,7.46117,278.742296,15.517296,77.693374,4.375224,1
6.548021,278.585105,25508.38695,6.749378,366.871502,16.563167,79.323678,3.61186,1
13.175402,47.432,19237.94968,8.90702,375.147315,12.083896,?,4.106924,1
6.618011,233.661636,19598.86074,4.701049,432.556385,11.766146,73.191921,4.437696,1
7.788055,212.691457,29879.06015,6.998962,360.668259,14.828743,83.856336,3.368757,1
5.191834,211.094185,14866.10386,7.238691,323.109285,17.78,83.505406,3.859801,1
5.62634,230.857983,14442.41888,5.210369,?,11.368702,43.195182,1.943319,1
6.869639,251.293448,21728.8213,8.803175,279.776857,12.99414,56.409708,4.726702,1
9.058628,155.357557,15737.46894,7.251979,343.233977,17.85447,83.175189,3.652134,1
7.291888,127.544297,27784.04848,9.754476,247.335412,17.285042,59.55633,5.328713,1
7.275909,175.220376,22644.76635,7.886855,293.309854,17.411683,56.799287,5.062298,1
6.512737,229.263861,22475.04687,12.580026,192.033592,9.983462,66.668576,4.612964,1
7.207887,175.870294,35804.29261,8.066059,320.102173,16.164091,71.146661,3.762741,1
?,156.520635,16146.15711,6.629599,352.353431,13.507688,42.34017,3.772919,1
5.324942,280.089655,35344.65805,13.043806,180.206746,10.50482,55.084668,4.427138,1
7.082301,169.468927,29846.71906,5.443387,350.401849,18.959534,30.389096,3.485577,1
5.334184,224.787936,28897.49153,6.048525,?,12.247344,67.154751,5.091357,1
10.761898,81.710895,25999.95367,8.477394,318.427241,12.71635,52.246972,4.661799,1
6.286807,258.300052,13777.37619,7.483258,328.68065,16.460837,73.516654,4.104863,1
9.794559,129.870958,20682.73174,9.390843,291.980083,11.853228,78.711469,2.945419,1
8.210444,167.102192,13933.08536,10.422842,243.485942,13.747058,61.05821,4.976055,1
6.941719,173.334389,20111.82126,6.697194,?,19.937486,?,4.563183,1
10.356119,136.323752,48621.56395,9.158704,327.922751,17.975564,77.359854,4.201849,1
7.958984,171.483625,23625.81389,9.537735,259.979966,16.11711,107.754043,4.698008,1
3.882631,243.80795,7751.809491,0.530351,?,12.990592,60.109968,3.734001,1
5.671774,216.042811,15949.15318,7.500573,?,17.895724,77.457885,3.83316,1
10.003301,143.094285,46113.95749,12.912187,?,16.96331,36.767671,4.746382,1
6.552847,198.80694,34006.42073,8.691206,274.904351,14.36963,78.173063,4.687986,1
7.628553,156.793694,26244.03691,8.33761,255.043194,13.633974,65.604841,4.182057,1
4.790841,268.720881,17862.369,4.554574,377.241161,10.806313,83.702236,3.258859,1
7.71096,181.938126,6552.626314,5.389249,390.596392,17.010785,58.241734,4.288947,1
8.291299,211.217034,20008.13496,8.767875,275.767321,12.614669,66.612984,3.424702,1
6.19317,225.683422,12883.7265,4.73936,?,14.560136,76.457816,3.466645,1
9.032661,121.441441,15618.17025,6.157491,372.927456,15.030315,63.125617,4.927218,1
6.139494,236.674026,8081.466471,6.250808,?,12.777014,106.037222,3.260907,1
7.129425,178.372352,25840.57889,7.487823,312.982727,16.406156,69.157609,3.418611,1
?,191.285218,21948.32536,5.626787,355.488766,16.691471,84.107738,4.10959,1
5.418504,187.776809,35902.71568,4.357088,?,6.37407,103.373005,4.50654,1
8.075495,195.804996,29483.60185,10.493841,298.737219,9.751086,72.734423,3.68292,1
?,225.287704,22511.69262,7.057578,377.12897,11.590025,72.508523,4.081701,1
10.049674,132.832837,11557.03204,8.550573,323.508072,13.376149,92.17617,5.133478,1
5.667651,229.928367,16953.89874,8.774306,293.57425,14.254641,54.436702,3.633214,1
?,181.689164,27776.18026,7.589869,298.226719,8.630091,72.923289,3.80792,1
8.923981,135.938468,27919.77067,12.363285,?,11.949914,69.31488,4.155583,1
6.428866,225.613094,15596.47333,6.153472,?,18.015386,87.163631,4.184783,1
6.960604,201.715452,11348.676,4.29789,?,10.490589,89.686196,4.97882,1
5.873676,203.329928,19216.68309,9.212779,?,11.119274,65.229551,5.412091,1
6.795469,187.78302,15300.83867,7.486598,316.956934,19.600429,55.401113,5.163088,1
10.041028,113.831112,16266.43445,7.939074,363.86689,13.195341,75.233221,3.807563,1
?,273.255621,44506.44156,8.412688,233.792588,14.705014,52.164236,4.124781,1
7.296038,235.735193,36043.70664,5.196213,377.190666,17.052713,89.623551,4.168526,1
?,161.826476,29299.12335,7.028797,350.43094,19.762577,86.698457,3.497577,1
5.862641,185.06522,44069.27216,4.382721,412.690111,15.306079,59.605812,5.507421,1
7.292142,174.480427,33991.65157,9.511792,259.164965,16.293614,81.690104,4.466913,1
8.062806,200.493112,11567.88784,9.88995,?,10.650935,40.992809,4.471842,1
7.821971,157.181545,23318.18798,9.08404,324.851659,17.186766,72.568376,3.532958,1
11.301794,77.459586,39227.61946,8.517986,337.501247,14.326889,53.12126,3.30958,1
6.593764,233.514132,25589.61059,9.785696,?,14.389609,46.463982,2.346578,1
9.161089,119.841905,26618.05964,6.105573,343.289234,10.899926,54.580736,4.888061,1
?,144.815264,14507.01781,5.819092,353.607275,8.942072,67.587346,5.922582,1
4.642953,307.706024,16115.92986,7.707342,?,18.44079,60.145842,3.982867,1
7.798454,188.394942,32704.56929,11.078872,258.191184,18.272439,85.177662,4.107267,1
5.564342,256.20883,11245.73577,7.212254,329.338366,15.640053,51.150344,2.285988,1
7.886591,213.052591,38852.02964,11.170789,281.700777,10.385172,64.662501,4.589984,1
7.443189,193.124799,13551.95334,4.313265,?,19.396329,72.075586,2.664833,1
3.657123,275.767142,23736.81626,9.100772,?,17.985957,55.694893,3.31463,1
9.597192,167.088976,21153.32283,7.944469,346.075016,14.347676,50.642447,5.145153,1
6.964226,212.764494,29957.19122,7.675188,321.250898,13.127694,72.089001,3.990438,1
7.67291,152.878305,22989.35118,6.231913,343.439017,14.252684,64.291292,4.268227,1
